Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2019-11-12,8760.8927181435,9081.1777328395,9096.0262777344,8564.9379334475
BTC,2019-11-14,8749.520591019,8760.8885463841,8837.9212515235,8703.6354498734
BTC,2019-11-15,8500.6435581622,8758.5466419692,8785.0541994457,8359.8491915927
BTC,2019-11-16,8469.2608988992,8500.6439356134,8539.1321737562,8423.5432052426
BTC,2019-11-17,8537.3396519676,8469.2610145267,8624.9563052093,8369.2249628799
BTC,2019-11-18,8205.8063659942,8500.6446029465,8500.6464893105,8035.8859070324
BTC,2019-11-19,8118.4885358003,8205.8100433327,8205.8100433327,7988.9226284942
BTC,2019-11-20,8074.8431736099,8119.4844439851,8215.6195886669,8029.0977271002
BTC,2019-11-22,7612.7405735024,8074.8405612179,8118.1139955905,7420.2813215708
BTC,2019-11-23,7303.4057585242,7618.5794132959,7717.8020876528,6804.1430649358
BTC,2019-11-24,7041.7329364242,7303.4142651484,7338.6986773229,6920.6314970308
BTC,2019-11-26,7141.0694486947,6894.6513544812,7368.1473890049,6524.5528585049
BTC,2019-11-27,7523.4806726005,7141.0755085305,7660.640370473,6851.6229297827
BTC,2019-11-28,7390.207469227,7523.4728866811,7647.5180888521,7379.3099176482
BTC,2019-11-30,7729.265938935,7390.2106561699,7856.6079055294,7378.4055432631
BTC,2019-12-01,7542.2356086361,7748.3354868447,7805.0293223847,7439.0988671462
BTC,2019-12-02,7333.4329304881,7542.2453443015,7564.9400791923,7162.4921248334
BTC,2019-12-03,7315.3677645579,7315.4392033661,7407.4107747383,7238.7305917929
BTC,2019-12-04,7213.7337617194,7315.3692744808,7767.9087248467,7089.1412888854
BTC,2019-12-05,7398.7870496069,7213.7434159704,7488.1377716159,7155.1199462029
BTC,2019-12-07,7532.1235130864,7392.9109372956,7619.6660178313,7304.0704409213
BTC,2019-12-08,7550.2391998746,7532.1235130405,7573.1560176261,7387.1540158748
BTC,2019-12-09,7333.0960431601,7550.2388152349,7652.7426061678,7285.2277677358
BTC,2019-12-10,7239.762575441,7333.0958889046,7394.5046757608,7161.5272908812
BTC,2019-12-11,7198.0666770463,7240.0782270224,7269.4743912492,7131.6440544468
BTC,2019-12-12,7190.2723692612,7203.9566063196,7282.3361427744,7081.8802205187
BTC,2019-12-13,7238.8743229875,7188.0718951202,7297.5888943435,7183.2017544808
BTC,2019-12-14,7087.0249853497,7238.9930894862,7271.5711842833,7007.4269228552
BTC,2019-12-15,7112.7314761241,7087.0249577639,7198.3238397492,7007.5588139996
BTC,2019-12-16,6883.4963937703,7112.5049767671,7139.5802433663,6828.4794483346
BTC,2019-12-17,6584.0288433458,6884.6615535556,6933.7411793769,6565.0096445899
BTC,2019-12-19,7147.5683237876,6584.0304242163,7424.0640296275,6427.9593864456
BTC,2019-12-21,7286.3350811573,7147.5690010018,7328.9308126043,7076.1110403604
BTC,2019-12-22,7236.9862046092,7286.3363101526,7356.6405191403,7083.7347260972
BTC,2019-12-23,7166.1723785327,7236.9860862933,7498.7973044554,7127.9362547168
BTC,2019-12-24,7235.6266504955,7166.1730451795,7292.0067358272,7045.1229145654
BTC,2019-12-26,7183.7065360296,7235.6235815876,7427.4722801559,7105.7238635861
BTC,2019-12-27,7227.2937116818,7183.7060825993,7251.38124578,7065.2783084265
BTC,2019-12-28,7311.560643923,7227.2943882922,7348.7897943166,7217.0795968016
BTC,2019-12-29,7385.464847913,7315.1515481719,7520.6370340888,7272.5937907838
BTC,2019-12-31,7179.9578192867,7379.1578812114,7396.6033217963,7119.6269458661
BTC,2020-01-01,7174.7440119511,7179.9576886221,7237.014865974,7152.9924021269
BTC,2020-01-03,7291.2195053189,7174.712356544,7390.0418350594,6852.0934014516
BTC,2020-01-04,7337.6366701377,7291.2175035999,7390.7629353266,7263.1786956072
